2017-09-07 20:48:19 INFO  DistriOptimizer$:717 - caching training rdd ...
2017-09-07 20:48:36 INFO  DistriOptimizer$:295 - [Epoch 1 31200/32561][Iteration 27][Wall Clock 4.928266663s] Train 1200 in 0.103318596seconds. Throughput is 11614.56 records/second. Loss is 0.51337457. 
2017-09-07 20:48:36 INFO  DistriOptimizer$:295 - [Epoch 1 32400/32561][Iteration 28][Wall Clock 5.031585259s] Train 1200 in 0.096067454seconds. Throughput is 12491.224 records/second. Loss is 0.52163905. 
2017-09-07 20:48:36 INFO  DistriOptimizer$:338 - [Epoch 1 32400/32561][Iteration 28][Wall Clock 5.031585259s] Epoch finished. Wall clock time is 5191.292702ms
2017-09-07 20:48:36 INFO  DistriOptimizer$:587 - [Wall Clock 5.191292702s] Validate model...
2017-09-07 20:48:48 INFO  DistriOptimizer$:629 - Top1Accuracy is Accuracy(correct: 12798, count: 16281, accuracy: 0.7860696517412935)
2017-09-07 20:48:48 INFO  DistriOptimizer$:629 - Loss is (Loss: 173.40186, count: 336, Average Loss: 0.5160769)
2017-09-07 20:48:48 INFO  DistriOptimizer$:295 - [Epoch 2 0/32561][Iteration 29][Wall Clock 5.191292702s] Train 1200 in 0.223561135seconds. Throughput is 5367.659 records/second. Loss is 0.5406059. 
2017-09-07 20:48:48 INFO  DistriOptimizer$:295 - [Epoch 2 1200/32561][Iteration 30][Wall Clock 5.414853837s] Train 1200 in 0.11107006seconds. Throughput is 10803.992 records/second. Loss is 0.51824063. 
2017-09-07 20:48:48 INFO  DistriOptimizer$:295 - [Epoch 2 2400/32561][Iteration 31][Wall Clock 5.525923897s] Train 1200 in 0.093915528seconds. Throughput is 12777.439 records/second. Loss is 0.5787797. 
2017-09-07 20:48:48 INFO  DistriOptimizer$:295 - [Epoch 2 3600/32561][Iteration 32][Wall Clock 5.619839425s] Train 1200 in 0.094317818seconds. Throughput is 12722.94 records/second. Loss is 0.5368706. 
2017-09-07 20:48:48 INFO  DistriOptimizer$:295 - [Epoch 2 4800/32561][Iteration 33][Wall Clock 5.714157243s] Train 1200 in 0.101837698seconds. Throughput is 11783.456 records/second. Loss is 0.49933648. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 6000/32561][Iteration 34][Wall Clock 5.815994941s] Train 1200 in 0.137997167seconds. Throughput is 8695.831 records/second. Loss is 0.45743218. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 7200/32561][Iteration 35][Wall Clock 5.953992108s] Train 1200 in 0.095473477seconds. Throughput is 12568.936 records/second. Loss is 0.45348594. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 8400/32561][Iteration 36][Wall Clock 6.049465585s] Train 1200 in 0.089343394seconds. Throughput is 13431.323 records/second. Loss is 0.49751827. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 9600/32561][Iteration 37][Wall Clock 6.138808979s] Train 1200 in 0.085653501seconds. Throughput is 14009.936 records/second. Loss is 0.48895073. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 10800/32561][Iteration 38][Wall Clock 6.22446248s] Train 1200 in 0.094807415seconds. Throughput is 12657.237 records/second. Loss is 0.4538039. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 12000/32561][Iteration 39][Wall Clock 6.319269895s] Train 1200 in 0.087918484seconds. Throughput is 13649.007 records/second. Loss is 0.4512521. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 13200/32561][Iteration 40][Wall Clock 6.407188379s] Train 1200 in 0.090600804seconds. Throughput is 13244.916 records/second. Loss is 0.48277807. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 14400/32561][Iteration 41][Wall Clock 6.497789183s] Train 1200 in 0.079368381seconds. Throughput is 15119.371 records/second. Loss is 0.5003584. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 15600/32561][Iteration 42][Wall Clock 6.577157564s] Train 1200 in 0.089328422seconds. Throughput is 13433.574 records/second. Loss is 0.48000026. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 16800/32561][Iteration 43][Wall Clock 6.666485986s] Train 1200 in 0.087415392seconds. Throughput is 13727.56 records/second. Loss is 0.48959243. 
2017-09-07 20:48:49 INFO  DistriOptimizer$:295 - [Epoch 2 18000/32561][Iteration 44][Wall Clock 6.753901378s] Train 1200 in 0.095696553seconds. Throughput is 12539.637 records/second. Loss is 0.46761724. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 19200/32561][Iteration 45][Wall Clock 6.849597931s] Train 1200 in 0.093995308seconds. Throughput is 12766.595 records/second. Loss is 0.45932207. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 20400/32561][Iteration 46][Wall Clock 6.943593239s] Train 1200 in 0.092692851seconds. Throughput is 12945.982 records/second. Loss is 0.4876099. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 21600/32561][Iteration 47][Wall Clock 7.03628609s] Train 1200 in 0.09602321seconds. Throughput is 12496.979 records/second. Loss is 0.43985665. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 22800/32561][Iteration 48][Wall Clock 7.1323093s] Train 1200 in 0.089545885seconds. Throughput is 13400.951 records/second. Loss is 0.45054698. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 24000/32561][Iteration 49][Wall Clock 7.221855185s] Train 1200 in 0.086768974seconds. Throughput is 13829.827 records/second. Loss is 0.42227617. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 25200/32561][Iteration 50][Wall Clock 7.308624159s] Train 1200 in 0.084373117seconds. Throughput is 14222.54 records/second. Loss is 0.47001. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 26400/32561][Iteration 51][Wall Clock 7.392997276s] Train 1200 in 0.083263697seconds. Throughput is 14412.044 records/second. Loss is 0.4626958. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 27600/32561][Iteration 52][Wall Clock 7.476260973s] Train 1200 in 0.084096205seconds. Throughput is 14269.371 records/second. Loss is 0.42720425. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 28800/32561][Iteration 53][Wall Clock 7.560357178s] Train 1200 in 0.094412159seconds. Throughput is 12710.228 records/second. Loss is 0.43667316. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 30000/32561][Iteration 54][Wall Clock 7.654769337s] Train 1200 in 0.093057972seconds. Throughput is 12895.1875 records/second. Loss is 0.42872182. 
2017-09-07 20:48:50 INFO  DistriOptimizer$:295 - [Epoch 2 31200/32561][Iteration 55][Wall Clock 7.747827309s] Train 1200 in 0.101997258seconds. Throughput is 11765.022 records/second. Loss is 0.41757905. 
2017-09-07 20:48:51 INFO  DistriOptimizer$:295 - [Epoch 2 32400/32561][Iteration 56][Wall Clock 7.849824567s] Train 1200 in 0.080351093seconds. Throughput is 14934.458 records/second. Loss is 0.441043. 
2017-09-07 20:48:51 INFO  DistriOptimizer$:338 - [Epoch 2 32400/32561][Iteration 56][Wall Clock 7.849824567s] Epoch finished. Wall clock time is 19437.54249ms
2017-09-07 20:48:51 INFO  DistriOptimizer$:587 - [Wall Clock 19.43754249s] Validate model...
2017-09-07 20:48:51 INFO  DistriOptimizer$:629 - Top1Accuracy is Accuracy(correct: 13160, count: 16281, accuracy: 0.8083041582212395)
2017-09-07 20:48:51 INFO  DistriOptimizer$:629 - Loss is (Loss: 145.56403, count: 336, Average Loss: 0.43322626)
2017-09-07 20:48:51 INFO  DistriOptimizer$:295 - [Epoch 3 0/32561][Iteration 57][Wall Clock 19.43754249s] Train 1200 in 0.122637856seconds. Throughput is 9784.907 records/second. Loss is 0.4391831. 
2017-09-07 20:48:51 INFO  DistriOptimizer$:295 - [Epoch 3 1200/32561][Iteration 58][Wall Clock 19.560180346s] Train 1200 in 0.103754131seconds. Throughput is 11565.805 records/second. Loss is 0.42660508. 
2017-09-07 20:48:51 INFO  DistriOptimizer$:295 - [Epoch 3 2400/32561][Iteration 59][Wall Clock 19.663934477s] Train 1200 in 0.139317765seconds. Throughput is 8613.402 records/second. Loss is 0.42933127. 
2017-09-07 20:48:51 INFO  DistriOptimizer$:295 - [Epoch 3 3600/32561][Iteration 60][Wall Clock 19.803252242s] Train 1200 in 0.104722038seconds. Throughput is 11458.906 records/second. Loss is 0.4379454. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 4800/32561][Iteration 61][Wall Clock 19.90797428s] Train 1200 in 0.10121156seconds. Throughput is 11856.353 records/second. Loss is 0.428653. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 6000/32561][Iteration 62][Wall Clock 20.00918584s] Train 1200 in 0.098931016seconds. Throughput is 12129.664 records/second. Loss is 0.41687664. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 7200/32561][Iteration 63][Wall Clock 20.108116856s] Train 1200 in 0.194399057seconds. Throughput is 6172.8696 records/second. Loss is 0.42465267. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 8400/32561][Iteration 64][Wall Clock 20.302515913s] Train 1200 in 0.094778635seconds. Throughput is 12661.081 records/second. Loss is 0.45721534. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 9600/32561][Iteration 65][Wall Clock 20.397294548s] Train 1200 in 0.094008318seconds. Throughput is 12764.828 records/second. Loss is 0.41330305. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 10800/32561][Iteration 66][Wall Clock 20.491302866s] Train 1200 in 0.087325097seconds. Throughput is 13741.754 records/second. Loss is 0.44223824. 
